experiment_id,dataset_family,investigation_id,original_test_id,fuel_material,material_category,sample_description,oxygen_pct,pressure_mmhg,pressure_kpa,burn_time_s,extinction_outcome,extinction_diameter_mm,initial_diameter_mm,burning_rate_mms,airflow_velocity_cms,flame_temp_k,gravity_condition,ignition_power_w,ignition_time_s,co2_pct,co_ppm,test_date,source_name,source_url,notes
FLEX-173,FLEX,PSI-69,173,Heptane,Liquid Droplet,Droplet initial diameter: 1.35 mm,18.0,762.1,101.6,3.6,Disruption,0.47,1.35,0.5,0.0,1250.0,Microgravity (~0g),,,,,2/21/2011,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C03H701. Extinction diameter: 0.47 mm. Burning rate: 0.5 mm/s.
FLEX-174,FLEX,PSI-69,174,Heptane,Liquid Droplet,Droplet initial diameter: 2.5 mm,24.0,531.7,70.89,11.2,Disruption,0.21,2.5,0.56,0.0,1250.0,Microgravity (~0g),,,,,2/21/2011,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C08H502. Extinction diameter: 0.21 mm. Burning rate: 0.56 mm/s.
FLEX-175,FLEX,PSI-69,175,Heptane,Liquid Droplet,Droplet initial diameter: 2.88 mm,24.0,532.1,70.94,15.6,Disruption,,2.88,0.55,0.0,1250.0,Microgravity (~0g),,,,,2/21/2011,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C08H601. Extinction diameter: None mm. Burning rate: 0.55 mm/s.
FLEX-176,FLEX,PSI-69,176,Methanol,Liquid Droplet,Droplet initial diameter: 4.53 mm,24.0,536.9,71.58,38.2,Extinction,,4.53,0.46,0.0,1400.0,Microgravity (~0g),,,,,4/18/2011,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C08M501. Extinction diameter: None mm. Burning rate: 0.46 mm/s.
FLEX-177,FLEX,PSI-69,177,Methanol,Liquid Droplet,Droplet initial diameter: 3.02 mm,24.0,537.0,71.59,14.5,Extinction,1.35,3.02,0.52,0.0,1400.0,Microgravity (~0g),,,,,4/18/2011,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C08M601. Extinction diameter: 1.35 mm. Burning rate: 0.52 mm/s.
FLEX-178,FLEX,PSI-69,178,Heptane,Liquid Droplet,Droplet initial diameter: 3.32 mm,23.0,533.6,71.14,8.9,Extinction,2.61,3.32,0.5,0.0,1400.0,Microgravity (~0g),,,,,4/20/2011,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C09H501. Extinction diameter: 2.61 mm. Burning rate: 0.5 mm/s.
FLEX-179,FLEX,PSI-69,179,Heptane,Liquid Droplet,Droplet initial diameter: 2.07 mm,23.0,534.4,71.25,7.5,Disruption,0.48,2.07,0.57,0.0,1250.0,Microgravity (~0g),,,,,4/20/2011,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C09H601. Extinction diameter: 0.48 mm. Burning rate: 0.57 mm/s.
FLEX-180,FLEX,PSI-69,180,Heptane,Liquid Droplet,Droplet initial diameter: 3.4 mm,19.0,758.4,101.11,4.5,Extinction,3.13,3.4,0.41,0.0,1400.0,Microgravity (~0g),,,,,4/20/2011,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C02H101. Extinction diameter: 3.13 mm. Burning rate: 0.41 mm/s.
FLEX-181,FLEX,PSI-69,181,Heptane,Liquid Droplet,Droplet initial diameter: 2.48 mm,19.0,759.1,101.2,7.0,Extinction,1.68,2.48,0.49,0.0,1400.0,Microgravity (~0g),,,,,4/20/2011,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C02H201. Extinction diameter: 1.68 mm. Burning rate: 0.49 mm/s.
FLEX-182,FLEX,PSI-69,182,Heptane,Liquid Droplet,Droplet initial diameter: 1.64 mm,19.0,759.0,101.19,5.1,Disruption,0.49,1.64,0.54,0.0,1250.0,Microgravity (~0g),,,,,4/20/2011,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C02H202. Extinction diameter: 0.49 mm. Burning rate: 0.54 mm/s.
